benchmark	measure	model	layer	spearman	spearmanp	permutation_test	permutation_testp
dwug_sv12	ap+jsd	mbert	5	-0.083	0.59	-0.083	0.673
dwug_sv12	ap+apdp	mbert	5	0.209	0.173	0.209	0.218
dwug_sv12	app+jsd	mbert	5	-0.284	0.062	-0.284	0.059
dwug_sv12	app+apdp	mbert	5	-0.074	0.632	-0.074	0.634
dwug_sv12	apd	mbert	6	0.352	0.019	0.352	0.02
dwug_sv12	prt	mbert	6	0.082	0.598	0.082	0.634
dwug_sv12	ap+jsd	mbert	6	-0.04	0.795	-0.04	0.772
dwug_sv12	ap+apdp	mbert	6	0.195	0.205	0.195	0.119
dwug_sv12	app+jsd	mbert	6	-0.11	0.477	-0.11	0.614
dwug_sv12	app+apdp	mbert	6	0.148	0.337	0.148	0.317
dwug_sv12	apd	mbert	7	0.404	0.007	0.404	0.04
dwug_sv12	prt	mbert	7	0.008	0.959	0.008	0.931
dwug_sv12	ap+jsd	mbert	7	-0.031	0.842	-0.031	0.97
dwug_sv12	ap+apdp	mbert	7	0.216	0.159	0.216	0.257
dwug_sv12	app+jsd	mbert	7	0.104	0.502	0.104	0.455
dwug_sv12	app+apdp	mbert	7	0.198	0.197	0.198	0.257
dwug_sv12	apd	mbert	8	0.455	0.002	0.455	0.02
dwug_sv12	prt	mbert	8	0.081	0.603	0.081	0.396
dwug_sv12	ap+jsd	mbert	8	0.114	0.46	0.114	0.376
dwug_sv12	ap+apdp	mbert	8	0.544	0.0	0.544	0.02
dwug_sv12	app+jsd	mbert	8	-0.095	0.541	-0.095	0.634
dwug_sv12	app+apdp	mbert	8	0.354	0.018	0.354	0.02
dwug_sv12	apd	mbert	9	0.463	0.002	0.463	0.02
dwug_sv12	prt	mbert	9	0.096	0.536	0.096	0.574
dwug_sv12	ap+jsd	mbert	9	0.01	0.947	0.01	0.713
dwug_sv12	ap+apdp	mbert	9	0.469	0.001	0.469	0.02
dwug_sv12	app+jsd	mbert	9	-0.397	0.008	-0.397	0.02
dwug_sv12	app+apdp	mbert	9	0.319	0.035	0.319	0.04
dwug_sv12	apd	mbert	10	0.414	0.005	0.414	0.04
dwug_sv12	prt	mbert	10	0.133	0.39	0.133	0.515
dwug_sv12	ap+jsd	mbert	10	0.061	0.695	0.061	0.673
dwug_sv12	ap+apdp	mbert	10	0.46	0.002	0.46	0.02
dwug_sv12	app+jsd	mbert	10	-0.097	0.529	-0.097	0.475
dwug_sv12	app+apdp	mbert	10	0.233	0.127	0.233	0.099
dwug_sv12	apd	mbert	11	0.309	0.041	0.309	0.059
dwug_sv12	prt	mbert	11	0.076	0.625	0.076	0.772
dwug_sv12	ap+jsd	mbert	11	0.175	0.255	0.175	0.178
dwug_sv12	ap+apdp	mbert	11	0.375	0.012	0.375	0.02
dwug_sv12	app+jsd	mbert	11	-0.068	0.659	-0.068	0.614
dwug_sv12	app+apdp	mbert	11	0.128	0.409	0.128	0.535
dwug_sv12	apd	mbert	12	0.389	0.009	0.389	0.02
dwug_sv12	prt	mbert	12	0.193	0.21	0.193	0.277
dwug_sv12	ap+jsd	mbert	12	0.023	0.883	0.023	0.99
dwug_sv12	ap+apdp	mbert	12	0.271	0.075	0.271	0.079
dwug_sv12	app+jsd	mbert	12	-0.155	0.314	-0.155	0.257
dwug_sv12	app+apdp	mbert	12	0.195	0.204	0.195	0.317
dwug_sv12	apd	xlm-r	1	0.134	0.386	0.134	0.495
dwug_sv12	prt	xlm-r	1	0.045	0.77	0.045	0.911
dwug_sv12	ap+jsd	xlm-r	1	-0.244	0.11	-0.244	0.099
dwug_sv12	ap+apdp	xlm-r	1	0.016	0.915	0.016	0.891
dwug_sv12	app+jsd	xlm-r	1	-0.01	0.946	-0.01	0.891
dwug_sv12	app+apdp	xlm-r	1	-0.062	0.691	-0.062	0.653
dwug_sv12	apd	xlm-r	2	0.234	0.127	0.234	0.158
dwug_sv12	prt	xlm-r	2	0.066	0.67	0.066	0.653
dwug_sv12	ap+jsd	xlm-r	2	-0.244	0.111	-0.244	0.139
dwug_sv12	ap+apdp	xlm-r	2	0.055	0.724	0.055	0.713
dwug_sv12	app+jsd	xlm-r	2	-0.382	0.01	-0.382	0.02
dwug_sv12	app+apdp	xlm-r	2	-0.118	0.445	-0.118	0.535
dwug_sv12	apd	xlm-r	3	0.289	0.057	0.289	0.099
dwug_sv12	prt	xlm-r	3	0.078	0.614	0.078	0.515
